Workspace,Store,Layer,Description,URI,Default Style,Observable Concept,Observation Concept,Units,Native SRS,Declared SRS,PublicPrivate,CommercialUse,Comments,Contact
global,,,,,,,,,,,,,,
,A_hololepidotus_abundance,A_hololepidotus_mg_abund,"Relative habitat abundance for Madagascar, derived from Sea Around Us data",file:/raid/geodata/coverages/marine/fish_spp/A_hololepidotus_Mg_abun.tif,raster,fisheries:ArgyrosomusHololepidotusAbundanceMg,measurement:Measurement,kg/km^2*year,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
,A_hololepidotus_habitat,A_hololepidotus,Habitat - Sea Around Us Project,file:/raid/geodata/coverages/marine/fish_spp/A_hololepidotus.tif,raster,fisheries:ArgyrosomusHololepidotusHabitat,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,"w.cheung@fisheries.ubc.ca - emailed 1/21/12 and asked about setting up a collaboration that would entail greater data sharing, etc."
,actual_evapotranspiration_global,aet_global,"AET, U. of Delaware Global Water Balance Archive",file:/raid/geodata/coverages/global/aet/evapotrans.tif,raster,habitat:AnnualSnowmelt,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Cort Willmott - no info is on the site.,"Cort Willmott, willmott@udel.edu (emailed 1/21/12)"
,annual_temp_max_global,tmp_ann_max_global,WorldClim temperature data,file:/raid/geodata/coverages/global/annual_max_temp/bio_5.tif,raster,geophysics:AnnualMaximumGroundSurfaceTemperature,measurement:Measurement,°C,EPSG:4326,EPSG:4326,Private,No,Redistribution not allowed without prior permission,Contacted early Jan 2012 with no response (http://www.worldclim.org/contact)
,artisanal_fishing,artisanal_fishing,Artisanal fishing from Halpern et al 2008,file:/raid/geodata/coverages/marine/artisanal_fisheries_halpern/artisanal_fishing.tif,raster,fisheries:SubsistenceUse,measurement:Measurement,t/year,EPSG:4326,EPSG:4326,Public,Yes,NCEAS product,"walbridge@nceas.ucsb.edu, ebert@nceas.ucsb.edu (contacted Walbridge in Nov. 2011 with no response; tried again 1/22/12)"
,average_annual_runoff_global,avg_ann_runoff_global,UNH GRDC Composite Runoff,file:/raid/geodata/coverages/global/runoff/avgannrunoff.tif,raster,habitat:AnnualRunoff,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Uncertain,Uncertain,No copyright info available,grdc@bafg.de (contacted 1/21/12)
,bathymetry_etopo1,bathymetry_etopo1,NASA ETOPO1 bathymetry,file:/raid/geodata/coverages/marine/global_bathymetry_new_etopo1/ETOPO1_Bed_g_geotiff.tif,raster,geophysics:Bathymetry,measurement:Measurement,m,EPSG:4326,EPSG:4326,Public,Yes,NASA product,
#,blank,blank,Silly blank layer for masking purposes,file:/raid/geodata/coverages/global/blank/Blank2.tif,raster,,,,EPSG:4326,EPSG:4326,Public,Yes,,
,buffalo_population,buffalo,FAO Gridded Livestock of the World,file:/raid/geodata/coverages/global/livestock/buffalo.tif,raster,waterSupplyService:BuffaloPopulation,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Public,No,Dissemenation of material in this information product for educational or non-commercial purposes are authorized without any prior written permission from the copyright holders provided the source is fully acknowledged.,copyright@fao.org for commercial use questions
